Code,Name,Instructor,Slot,Credits,Text Reference,Description,Mean,Median,Mode,Std. Dev.,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,PP,NP,DX,W,II
AE 234,Aircraft Propulsion,Hrishikesh Gadgil,8,6.0,"1. Saravanamuttoo, H.I.H, Rogers, G. F. C., Cohen, H., Gas Turbine Theory, ISBN 978-0138475, 5th Ed, Prentice Hall, 20. Hill, P., and Peterson, C., Mechanics and Thermodynamics of Propulsion, ISBN 978-0132465489, Pearson Education, 2009.3. Mattingly, J. D., Elements of Gas Turbine Propulsion, Tata McGraw Hill Edition, 20054. El-Sayed, A., Aircraft Propulsion and Gas Turbine Engines, ISBN 978-0849391965, 1st Ed., CRC Press, 20085. Roy, B., Aircraft Propulsion: Science of Making Thrust to Fly, 1st Ed., Elsevier India, 2011","Introduction to various aircraft propulsive devices: Piston-prop, Turbo-prop, Turbojet, Turbofan, Turboshaft, Vectored- thrust, Lift engines. Gas Turbine Cycles and cycle based performance analysis; 1-D and 2-D analysis of flow through gas turbine components - Intake, Compressors, Turbines, Combustion Chamber, Afterburner, and Nozzle. Compressor and Turbine blade shapes; cascade theory; radial equilibrium theory; matching of compressor and Turbine. Turbine cooling. Single spool and Multi- spool engines. Powerplant performance with varying speed and altitude. Other propulsion systems: ramjets, scramjets and pulsejets.",1.3333333333333333,0.0,0.0,2.309401076758503,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
AE 236,Compressible Fluid Mechanics,Vineeth Nair,3,6.0,"1. Anderson, J. D., Modern Compressible Flow: withHistorical Perspective, 3rd Ed., McGraw Hill, 2003.2. Yahya, S.M., Fundamentals of Compressible Flow, 3rd Ed., New Age International, New Delhi, 2003","Review of Fundamentals. Concept of Waves in fluid, Mach waves, Compression waves, Expansion waves. Isentropic flow, Adiabatic flow, Shock waves. Stationary and Moving Normal Shocks. Oblique Shocks, Bow Shocks in 2D. Conical Shocks, Bow Shocks in 3D. Shock interactions, Shock reflection from boundaries, Shockwave Boundary Layer interaction. Prandtl-Meyer expansion fans. Shock Expansion Methods. Mach Number and Area rule, Flow through a Nozzle: Convergent Nozzle, Convergent Divergent Nozzle, Under-expanded and Over-expanded Nozzle flows. Duct flow with friction and heat addition. Shock Tubes. Supersonic and Transonic Wind tunnels. Potential flow equations. High temperature aspects of gas dynamics. Introduction to hypersonic flows",3.9375,5.0,5.0,2.5157835094989127,0,0,0,0,0,2,2,5,3,0,4,0,0,0,0,0
AE 308-M,Control Theory,"Arnab Maity, Shashi Ranjan Kumar",14,6.0,"1. Ogata, K., 302221Modern Control Engineering302222, 5th Ed., Prentice Hall India, EasternEconomy Edition, 2010.2. Kuo, B. C. and Golnaraghi, F., 302221Automatic Control Systems302222, 8th Ed., JohnWiley & Sons, 2003.3. D`Azzo, J. J. and Houpis, C. H., 302221Linear Control Systems Analysis and Design- Conventional and Modern302222, 4th Ed., McGraw-Hill, 1995.4. Nise, N.S., 302221Control Systems Engineering302222, 3rd Ed., John Wiley & Sons, 20. Franklin, G.F., David Powell, J. &Emami-Naeini, A., 302221Feedback Control ofDynamic Systems302222, 5th Ed., Pearson Prentice Hall, LPE, 2006.6. Gopal, M., 302221Control Systems 302226 Principles and Design302222, 3rd Ed., Tata McGraw-Hill, 2008.","Introduction: Control situations & control objectives, broad control tasks, open-loop and closed-loop control concept, various types of control structures, unity negative feedback control systems, basic control actions. Two-position Control Systems: On-off control concept and action of an ideal relay, 1st and 2nd order system on-off control, effect of hysteresis on the closed-loop control performance, relay modelling. System response: Response of higher order systems to standard and generic inputs in Laplace and time domains, concept of partial fractions. System Stability: Concept of system stability and connection with its response, asymptotic and bounded-input bounded-output stability, role of characteristic roots in stability, Routh’s criterion for absolute and relative stability analysis, including unknown parameter based stability. Proportional Control Systems: Proportional control action modelling, stability and response of proportional control systems, concept of root locus and its application to proportional control system analysis. Frequency Response: Concept of frequency domain and frequency response, response representation using bode, Nyquist and Nichol’s plots, closed-loop system analysis using frequency response attributes, Nyquist stability analysis. Closed-loop Response Attributes: Transient and steady-state response concept, tracking control task and closed-loop error constants, integral control option for tracking, transient response and role of derivative action. Closed-loop Response Control Elements: PI controllers and lag compensators for tracking control tasks, PD controllers and lead compensators for transient response control tasks, PID controllers and lag-lead compensators for complex control tasks. Design of Closed-loop Control Systems: Closed-loop performance specifications, gain and phase margins as design specifications, use of root locus, Bode plots, Nyquist plots and Nichol’s plots in closed-loop control design, design rules, methodologies and guidelines for different types of control tasks.",5.4,5.5,5.0,2.909150717088553,1,2,0,0,2,2,3,4,3,0,3,0,0,0,0,0
AE 308-S1,Control Theory,"Arnab Maity, Shashi Ranjan Kumar",14,6.0,"1. Ogata, K., 302221Modern Control Engineering302222, 5th Ed., Prentice Hall India, EasternEconomy Edition, 2010.2. Kuo, B. C. and Golnaraghi, F., 302221Automatic Control Systems302222, 8th Ed., JohnWiley & Sons, 2003.3. D`Azzo, J. J. and Houpis, C. H., 302221Linear Control Systems Analysis and Design- Conventional and Modern302222, 4th Ed., McGraw-Hill, 1995.4. Nise, N.S., 302221Control Systems Engineering302222, 3rd Ed., John Wiley & Sons, 20. Franklin, G.F., David Powell, J. &Emami-Naeini, A., 302221Feedback Control ofDynamic Systems302222, 5th Ed., Pearson Prentice Hall, LPE, 2006.6. Gopal, M., 302221Control Systems 302226 Principles and Design302222, 3rd Ed., Tata McGraw-Hill, 2008.","Introduction: Control situations & control objectives, broad control tasks, open-loop and closed-loop control concept, various types of control structures, unity negative feedback control systems, basic control actions. Two-position Control Systems: On-off control concept and action of an ideal relay, 1st and 2nd order system on-off control, effect of hysteresis on the closed-loop control performance, relay modelling. System response: Response of higher order systems to standard and generic inputs in Laplace and time domains, concept of partial fractions. System Stability: Concept of system stability and connection with its response, asymptotic and bounded-input bounded-output stability, role of characteristic roots in stability, Routh’s criterion for absolute and relative stability analysis, including unknown parameter based stability. Proportional Control Systems: Proportional control action modelling, stability and response of proportional control systems, concept of root locus and its application to proportional control system analysis. Frequency Response: Concept of frequency domain and frequency response, response representation using bode, Nyquist and Nichol’s plots, closed-loop system analysis using frequency response attributes, Nyquist stability analysis. Closed-loop Response Attributes: Transient and steady-state response concept, tracking control task and closed-loop error constants, integral control option for tracking, transient response and role of derivative action. Closed-loop Response Control Elements: PI controllers and lag compensators for tracking control tasks, PD controllers and lead compensators for transient response control tasks, PID controllers and lag-lead compensators for complex control tasks. Design of Closed-loop Control Systems: Closed-loop performance specifications, gain and phase margins as design specifications, use of root locus, Bode plots, Nyquist plots and Nichol’s plots in closed-loop control design, design rules, methodologies and guidelines for different types of control tasks.",6.294117647058823,7.0,9.0,3.104618408465825,10,13,1,0,11,13,11,7,7,0,12,0,0,0,0,0
AE 308-S2,Control Theory,"Arnab Maity, Shashi Ranjan Kumar",14,6.0,"1. Ogata, K., 302221Modern Control Engineering302222, 5th Ed., Prentice Hall India, EasternEconomy Edition, 2010.2. Kuo, B. C. and Golnaraghi, F., 302221Automatic Control Systems302222, 8th Ed., JohnWiley & Sons, 2003.3. D`Azzo, J. J. and Houpis, C. H., 302221Linear Control Systems Analysis and Design- Conventional and Modern302222, 4th Ed., McGraw-Hill, 1995.4. Nise, N.S., 302221Control Systems Engineering302222, 3rd Ed., John Wiley & Sons, 20. Franklin, G.F., David Powell, J. &Emami-Naeini, A., 302221Feedback Control ofDynamic Systems302222, 5th Ed., Pearson Prentice Hall, LPE, 2006.6. Gopal, M., 302221Control Systems 302226 Principles and Design302222, 3rd Ed., Tata McGraw-Hill, 2008.","Introduction: Control situations & control objectives, broad control tasks, open-loop and closed-loop control concept, various types of control structures, unity negative feedback control systems, basic control actions. Two-position Control Systems: On-off control concept and action of an ideal relay, 1st and 2nd order system on-off control, effect of hysteresis on the closed-loop control performance, relay modelling. System response: Response of higher order systems to standard and generic inputs in Laplace and time domains, concept of partial fractions. System Stability: Concept of system stability and connection with its response, asymptotic and bounded-input bounded-output stability, role of characteristic roots in stability, Routh’s criterion for absolute and relative stability analysis, including unknown parameter based stability. Proportional Control Systems: Proportional control action modelling, stability and response of proportional control systems, concept of root locus and its application to proportional control system analysis. Frequency Response: Concept of frequency domain and frequency response, response representation using bode, Nyquist and Nichol’s plots, closed-loop system analysis using frequency response attributes, Nyquist stability analysis. Closed-loop Response Attributes: Transient and steady-state response concept, tracking control task and closed-loop error constants, integral control option for tracking, transient response and role of derivative action. Closed-loop Response Control Elements: PI controllers and lag compensators for tracking control tasks, PD controllers and lead compensators for transient response control tasks, PID controllers and lag-lead compensators for complex control tasks. Design of Closed-loop Control Systems: Closed-loop performance specifications, gain and phase margins as design specifications, use of root locus, Bode plots, Nyquist plots and Nichol’s plots in closed-loop control design, design rules, methodologies and guidelines for different types of control tasks.",6.625,7.0,6.0,2.4509557131955644,6,15,0,0,14,16,17,6,8,0,6,0,0,0,0,0
AE 314,Aircraft Structures Laboratory,Krishnendu Haldar,L2,5.0,"Laboratory Manual, Aircraft Structures Lab., Dept. of Aerospace Engineering, IIT Bombay, 2007.","The aerospace structures laboratory includes experiments related to material aspects as well as structural mechanics. These experiments are largely based upon the syllabus covered in the courses on solid mechanics and aerospace structures. A couple of experiments on vibrations and structural dynamics are also included for exposure. The experiments in this laboratory course cover the following.Fabrication of fibre reinforced composite laminate; tension, compression, interlaminar shear, impact and hardness testing for determination of elastic moduli and strength of material; coefficient of thermal expansion; strain measurement; inverse methods for material property determination (Poisson`s ratio and Youngs Modulus) using measured static and dynamic structural response in conjunction with simple structural models; shear centre of open section thin-walled beam, displacement and strain distribution in bending and torsion of twin-walled open and closed section beams; Buckling of beams/plates; measurement of natural frequency, natural modes and modal damping of beams.",9.41891891891892,10.0,10.0,1.5080310737392646,52,17,0,0,1,1,0,1,1,0,1,0,0,0,0,0
AE 326,Vibrations and Structural Dynamics,Abhijit Gogulapati,9,6.0,"1. Meirovitch, L., Elements of Vibration Analysis, 3rd Ed. McGraw-Hill BookCo., 2001.2. Weaver, W., Timoshenko, S. P. and Young, D. H., Vibration Problems inEngineering, 5th Ed. John-Wiley and Sons, 1990.3. Clough, R.W. and Penzien, J., Dynamics of Structures, 2nd Ed. McGraw-Hill,1993.","Single degree of freedom system vibrations, Free and Forced Undamped and Damped Vibrations. Periodic and General Excitations: Duhamel Integral Approach. Introduction to Vibration Isolation. Discrete systems with multiple degrees of freedom, elastic and inertia coupling, Natural frequencies and modes, free vibration response, Orthogonality of natural modes, modal analysis, Forced vibration response, special and general cases of damping, matrix formulations, solution of the Eigen Value problem. Vibration of continuous systems, differential equations and boundary conditions, Free and forced longitudinal, flexural and torsional vibrations of one-dimensional structures, Elements of analytical dynamics, generalized coordinates, Principle of Virtual Work, Hamilton Principle, Lagrange equations, Applications. Modal analysis. Approximate methods based on Lagrange equation and assumed modes. Structural damping.",7.5256410256410255,8.0,8.0,2.124222448878886,9,10,0,0,35,9,9,2,0,0,4,0,0,0,0,0
AE 326-M,Vibrations and Structural Dynamics,Abhijit Gogulapati,9,6.0,"1. Meirovitch, L., Elements of Vibration Analysis, 3rd Ed. McGraw-Hill BookCo., 2001.2. Weaver, W., Timoshenko, S. P. and Young, D. H., Vibration Problems inEngineering, 5th Ed. John-Wiley and Sons, 1990.3. Clough, R.W. and Penzien, J., Dynamics of Structures, 2nd Ed. McGraw-Hill,1993.","Single degree of freedom system vibrations, Free and Forced Undamped and Damped Vibrations. Periodic and General Excitations: Duhamel Integral Approach. Introduction to Vibration Isolation. Discrete systems with multiple degrees of freedom, elastic and inertia coupling, Natural frequencies and modes, free vibration response, Orthogonality of natural modes, modal analysis, Forced vibration response, special and general cases of damping, matrix formulations, solution of the Eigen Value problem. Vibration of continuous systems, differential equations and boundary conditions, Free and forced longitudinal, flexural and torsional vibrations of one-dimensional structures, Elements of analytical dynamics, generalized coordinates, Principle of Virtual Work, Hamilton Principle, Lagrange equations, Applications. Modal analysis. Approximate methods based on Lagrange equation and assumed modes. Structural damping.",8.5,8.5,9.0,0.7071067811865476,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AE 330,Aerospace Propulsion,Kowsik V R Bodi,2,6.0,"1. Sutton, G. P., and Biblarz, O., Rocket Propulsion Elements, 7th Ed., WileyIndia Pvt. Ltd., 2010.2. Oates, G. C., Aerothermodynamics of Gas Turbine and Rocket Propulsion,AIAA, 19883. Barrere, M., Jaumotte, A., de Veubeke, B. F., Vendenkerchove, J., RocketPropulsion, Elsevier Publishing Company, Amsterdam, 1960.4. Mukunda H. S. Understanding Aerospace Chemical Propulsion, InterlinePublishing, Bangalore, 2004","Introduction, Various propulsive devices used for aerospace applications. Classifications of rockets: Electric, Nuclear and Chemical rockets, Applications of rockets. Nozzle design: Flow through nozzle, Real nozzle, Equilibrium and frozen flow, Adaptive and non-adaptive nozzles. Thrust vector controls, Rocket performance parameters. Solid propellant rockets, Grain compositions. Design of grain. Liquid propellant rockets, Injector design, cooling systems, Feed Systems: Pressure feed and turbo-pump feed system. Heat transfer problems in rocket engines.",7.37037037037037,8.0,9.0,2.2773034736528004,12,19,0,0,13,16,5,8,5,0,3,0,0,0,0,0
AE 333,Aerodynamics,Viren Menezes,6,6.0,"1. Anderson, J. D., Jr., Fundamentals of Aerodynamics, McGraw Hill 2001.2. Bertin, J. J., Aerodynamics for Engineers, Pearson Education, 2002.3. Houghton, E. L. and Carpenter, P. W., Aerodynamics for Engineers,Butterworth-Heinemann, 2001.","Airfoils, wings and their nomenclature; lift, drag and pitching moment coefficients; centre of pressure and aerodynamic centre. Potential flow Analysis; Scalar and vector fields, velocity potential, line, surface and volume integrals, circulation and lift generation, Kutta-Joukowski theorem. Method of superposition, thin airfoil theory, source and vortex methods. Subsonic compressible flow past airfoils; Critical Mach number, drag divergence Mach number, supercritical airfoils, effect of sweep, area rule. Full and perturbation velocity potential formulations; Prandtl Glauert compressibility corrections. Transonic flow past airfoils, transonic similarity rules; Supersonic flow past airfoils, linearized supersonic flow, shock expansion method. Potential flow over lifting wing; lifting line theory, vortex lattice method, slender body theory, panel method, variation of lift and drag coefficients in subsonic flows with angle of attack, Reynolds number, thickness-to- chord ratio. Supersonic flow over airfoils and wings; subsonic/supersonic leading edge. Hypersonic flows, real gas effects, Newtonian theory, lift and drag in hypersonic flows.",6.890243902439025,8.0,9.0,2.3307186279114056,1,21,0,0,20,14,7,10,4,2,3,0,0,0,0,0
